학교종류,시도,학교명,본분교,학교상태,설립,주소,홈페이지
전문대학(3년제),경남,김해대학교,본교,기존,사립,경남 김해시 삼안로 112번길 198,www.gimhae.ac.kr
전문대학(3년제),경기,한국농수산대학,본교,기존,국립,경기 화성시 봉담읍 동화리 11-1,www.af.ac.kr
전문대학(3년제),강원,한국골프대학,본교,기존,사립,강원 횡성군 우천면 하대리 281번지,www.kg.ac.kr
전문대학(2년제),강원,원주대학,본교,폐교,국립,강원 원주시 흥업면 원주대학,
전문대학(2년제),경기,한국철도대학,본교,폐교,국립,경기 의왕시 월암동 374-18 한국철도대학,www.krc.ac.kr
전문대학(2년제),경남,경남도립거창대학,본교,기존,공립,경남 거창군 거창읍 거창대학로 72,www.gc.ac.kr
전문대학(2년제),경남,경남도립남해대학,본교,기존,공립,경남 남해군 남해읍 남변리 195,www.namhae.ac.kr
전문대학(2년제),충북,충북도립대학,본교,기존,공립,충북 옥천군 옥천읍 대학길 15,http://www.cpu.ac.kr
전문대학(2년제),인천,인천전문대학,본교,폐교,공립,인천 남구 석정로 165,www.icc.ac.kr
전문대학(2년제),인천,가천길대학,본교,폐교,사립,인천 연수구 함박뫼로 191 가천의과학대학교 ,www.gachon.ac.kr
전문대학(2년제),경북,경산1대학교,본교,기존,사립,경북 경산시 하양읍 대경로 105길 19,www.gs.ac.kr
전문대학(2년제),경북,영남외국어대학,본교,기존,사립,경북 경산시 남천면 남천로 780-9 ,www.yflc.ac.kr
전문대학(2년제),경기,경원전문대학,본교,폐교,사립,경기 성남시 수정구 복정동 경원전문대학,
전문대학(2년제),대구,계명문화대학교,본교,학교명 변경,사립,대구 달서구 달서대로 675 계명문화대학교,www.kmcu.ac.kr
전문대학(2년제),경기,계원예술대학교,본교,기존,사립,경기도 의왕시 계원대학로 66 (내손동) 계원예술대학교,www.kaywon.ac.kr
전문대학(2년제),경북,구미대학교,본교,기존,사립,경북 구미시 야은로 37,www.kumi.ac.kr
전문대학(2년제),충북,강동대학교,본교,기존,사립,충북 음성군 감곡면 대학길 278번지 강동대학교,http://www.gangdong.ac.kr
전문대학(2년제),경북,김천과학대학교,본교,기존,사립,경북 김천시 삼락동 김천과학대학,www.kcs.ac.kr
전문대학(2년제),경북,김천대학,본교,폐교,사립,경북 김천시 대학로 214 김천대학,www.gimcheon.ac.kr
전문대학(2년제),경북,대경대학교,본교,기존,사립,경북 경산시 자인면 대경대학 ,www.tk.ac.kr
전문대학(2년제),대구,대구공업대학교,본교,기존,사립,대구 달서구 본동 대구공업대학교,www.ttc.ac.kr
전문대학(2년제),대구,대구과학대학교,본교,기존,사립,대구 북구 영송로 47번지,www.tsu.ac.kr
전문대학(2년제),부산,대동대학교,본교,기존,사립,부산 금정구 동부곡로 27번길 88 대동대학교,www.daedong.ac.kr
